Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
NEPT,Neptune Technologies Bioresou,Jan 10  2017 - Jan 16  ,0.86 - 1.53,-0.01,-0.01,N/A,0.01,-0.02,0.01,-0.01,-0.02,../test/Nasdaq/NEPT/NEPT.csv,
ACSF,American Capital Senior Floatin,Nov 3  2016 - Nov 4  ,9.21 - 13.38,0.31,0.3,0.28,0.29,-1.44,0.22,1.03,1.03,../test/Nasdaq/ACSF/ACSF.csv,
RXII,RXi Pharmaceuticals Corporation,Mar 28  2017 - Apr 3  ,0.60 - 3.27,-0.45,-0.45,-0.36,-0.34,-0.4,-0.34,-0.34,-0.34,../test/Nasdaq/RXII/RXII.csv,
DMPI,DELMAR PHARMA,May 17  2017 - May 23  ,0.75 - 10.87,-0.19,-0.19,-0.15,-0.22,-0.12,-0.32,-0.23,-0.13,../test/Nasdaq/DMPI/DMPI.csv,
PFLT,PennantPark Floating Rate Capit,May 3  2017 - May 8  ,11.36 - 14.22,0.27,0.27,0.3,0.27,0.27,0.26,0.3,0.28,../test/Nasdaq/PFLT/PFLT.csv,
SFBC,Sound Financial Bancorp  Inc.,,,null,,
EEFT,Euronet Worldwide  Inc.,Apr 25  2017 - May 1  ,65.33 - 84.81,0.68,0.9,1.34,0.99,0.69,0.97,1.35,0.99,../test/Nasdaq/EEFT/EEFT.csv,
HIIQ,Health Insurance Innovations  I,Mar 1  2017 - Mar 6  ,3.72 - 21.00,0.03,0.06,0.11,0.18,0.17,0.27,0.33,0.35,../test/Nasdaq/HIIQ/HIIQ.csv,
LCUT,Lifetime Brands  Inc.,Mar 9  2017 - Mar 13  ,12.03 - 19.35,0.64,-0.11,0.01,0.51,0.75,-0.24,0.01,0.51,../test/Nasdaq/LCUT/LCUT.csv,
HBNC,Horizon Bancorp (IN),Apr 24  2017 - Apr 28  ,20.87 - 32.45,0.34,0.37,0.38,0.32,0.29,0.35,0.3,0.39,../test/Nasdaq/HBNC/HBNC.csv,
IOSP,Innospec Inc.,May 1  2017 - May 5  ,41.61 - 74.75,0.77,0.88,0.77,0.89,0.93,1.03,0.78,1.09,../test/Nasdaq/IOSP/IOSP.csv,
NEO,NeoGenomics  Inc.,Feb 27  2017 - Mar 3  ,6.15 - 9.88,-0.07,0.03,0.03,0.03,0.03,0.04,0.04,0.05,../test/Nasdaq/NEO/NEO.csv,
TOUR,Tuniu Corporation,Feb 27  2017 - Mar 3  ,7.62 - 12.13,-0.61,-0.59,-0.58,-0.38,-0.74,-0.81,-0.59,-0.57,../test/Nasdaq/TOUR/TOUR.csv,
CLCD,CoLucid Pharmaceuticals  Inc.,Nov 9  2016 - Nov 14  ,5.26 - 46.65,-0.64,-0.72,-0.84,-1.01,-0.74,-0.85,-1.06,-0.79,../test/Nasdaq/CLCD/CLCD.csv,
KOSS,Koss Corporation,May 10  2017 - May 15  ,1.93 - 3.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/KOSS/KOSS.csv,
SAFT,Safety Insurance Group  Inc.,Feb 21  2017 - Feb 27  ,54.43 - 75.05,0.72,1.12,1.1,0.74,0.86,1.39,1.01,0.78,../test/Nasdaq/SAFT/SAFT.csv,
OSN,Ossen Innovation Co.  Ltd.,Apr 19  2017 - Apr 24  ,1.92 - 3.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OSN/OSN.csv,
OHRP,Ohr Pharmaceuticals  Inc.,May 8  2017 - May 12  ,0.74 - 4.05,-0.18,-0.27,-0.24,-0.19,-0.17,-0.24,-0.21,-0.21,../test/Nasdaq/OHRP/OHRP.csv,
SPOK,Spok Holdings  Inc.,Feb 22  2017 - Feb 27  ,16.04 - 22.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SPOK/SPOK.csv,
TCX,Tucows Inc.,,,null,,
HTHT,China Lodging Group  Limited,Mar 14  2017 ,29.35 - 60.92,0.13,0.06,0.39,0.54,0.16,0.15,0.64,0.6,../test/Nasdaq/HTHT/HTHT.csv,
CZR,Caesars Entertainment Corporati,May 3  2017 - May 8  ,5.39 - 10.84,-0.09,-0.03,-0.35,-0.08,-0.21,-0.49,-0.35,-5.9,../test/Nasdaq/CZR/CZR.csv,
GALTU,Galectin Therapeutics Inc.,,,null,,
UBFO,United Security Bancshares,Apr 12  2017 - Apr 17  ,4.55 - 8.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UBFO/UBFO.csv,
FANG,Diamondback Energy  Inc.,May 1  2017 - May 5  ,73.12 - 114.00,-0.05,0.16,0.34,0.51,0.02,0.26,0.54,0.9,../test/Nasdaq/FANG/FANG.csv,
KELYB,Kelly Services  Inc.,,,null,,
ALSK,Alaska Communications Systems G,Mar 14  2017 ,1.49 - 1.97,-0.01,N/A,0.01,N/A,0.01,N/A,0.01,0.01,../test/Nasdaq/ALSK/ALSK.csv,
FLAT,Barclays PLC,,,null,,
PLPM,Planet Payment  Inc.,Feb 28  2017 - Mar 6  ,2.75 - 4.97,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.05,../test/Nasdaq/PLPM/PLPM.csv,
MOCO,MOCON  Inc.,Feb 23  2017 - Feb 27  ,13.02 - 21.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MOCO/MOCO.csv,
PPHM,Peregrine Pharmaceuticals Inc.,Mar 7  2017 - Mar 13  ,0.28 - 0.76,-0.07,-0.03,-0.04,-0.03,-0.08,-0.05,-0.05,-0.02,../test/Nasdaq/PPHM/PPHM.csv,
TBPH,Theravance Biopharma  Inc.,Mar 7  2017 - Mar 13  ,15.00 - 38.92,-0.96,-1.05,-0.92,-1.05,-1.1,-1.06,-0.73,-1.36,../test/Nasdaq/TBPH/TBPH.csv,
ASRVP,AmeriServ Financial Inc.,,,null,,
APPS,Digital Turbine  Inc.,Feb 7  2017 - Feb 13  ,0.56 - 1.56,-0.08,-0.08,-0.08,-0.08,-0.09,-0.11,-0.11,-0.04,../test/Nasdaq/APPS/APPS.csv,
PRSS,CafePress Inc.,Feb 21  2017 - Feb 27  ,2.80 - 3.95,-0.09,-0.08,-0.11,0.11,-0.1,-0.08,-0.12,0.23,../test/Nasdaq/PRSS/PRSS.csv,
AQXP,Aquinox Pharmaceuticals  Inc.,Mar 13  2017 - Mar 17  ,6.01 - 19.97,-0.37,-0.35,-0.41,-0.58,-0.26,-0.39,-0.63,-0.46,../test/Nasdaq/AQXP/AQXP.csv,
JSM,Navient Corporation,,,null,,
FTXO,First Trust Nasdaq Bank ETF,,,null,,
GAINO,Gladstone Investment Corporatio,,,null,,
CYHHZ,Community Health Systems  Inc.,,,null,,
CVLY,Codorus Valley Bancorp  Inc,Apr 19  2017 - Apr 24  ,19.76 - 29.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CVLY/CVLY.csv,
RELL,Richardson Electronics  Ltd.,Apr 4  2017 - Apr 10  ,5.07 - 7.24,-0.1,-0.15,-0.06,-0.12,-0.13,0.07,-0.22,-0.2,../test/Nasdaq/RELL/RELL.csv,
IBOC,International Bancshares Corpor,Feb 27  2017 - Mar 3  ,22.96 - 42.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/IBOC/IBOC.csv,
OKSB,Southwest Bancorp  Inc.,Apr 18  2017 - Apr 24  ,14.46 - 29.70,0.24,0.24,0.27,0.28,0.1,0.28,0.23,0.33,../test/Nasdaq/OKSB/OKSB.csv,
OSUR,OraSure Technologies  Inc.,May 2  2017 - May 8  ,5.57 - 12.07,0.02,0.05,0.07,0.06,0.04,0.07,0.11,0.13,../test/Nasdaq/OSUR/OSUR.csv,
GPAC,Global Partner Acquisition Corp,,,null,,
DSLV,Credit Suisse AG,,,null,,
FNX,First Trust Mid Cap Core AlphaD,,,null,,
IVENC,Ivy NextShares,,,null,,
PRMW,Primo Water Corporation,Mar 6  2017 - Mar 10  ,8.80 - 15.39,0.02,0.04,0.07,0.08,0.04,0.04,0.08,0.08,../test/Nasdaq/PRMW/PRMW.csv,
NK,NantKwest  Inc.,,,null,,
FKO,First Trust South Korea AlphaDE,,,null,,
SNSS,Sunesis Pharmaceuticals  Inc.,Mar 8  2017 - Mar 13  ,2.64 - 6.30,-0.82,-0.69,-0.62,-0.71,-0.9,-0.72,-0.72,-0.62,../test/Nasdaq/SNSS/SNSS.csv,
ROKA,Roka Bioscience  Inc.,Mar 2  2017 - Mar 6  ,0.53 - 7.37,-5.13,-5.27,-4.75,-4.55,-5.4,-4.9,-5.6,-4.7,../test/Nasdaq/ROKA/ROKA.csv,
DMLP,Dorchester Minerals  L.P.,,,null,,
IIN,IntriCon Corporation,Apr 24  2017 - Apr 28  ,4.12 - 8.25,0.06,-0.09,-0.1,-0.01,0.06,-0.1,-0.1,-0.12,../test/Nasdaq/IIN/IIN.csv,
BWFG,Bankwell Financial Group  Inc.,Apr 25  2017 - May 1  ,19.51 - 34.80,0.35,0.39,0.39,0.43,0.4,0.36,0.41,0.47,../test/Nasdaq/BWFG/BWFG.csv,
HBANN,Huntington Bancshares Incorpora,,,null,,
CVBF,CVB Financial Corporation,Apr 18  2017 - Apr 24  ,15.25 - 24.63,0.25,0.24,0.24,0.24,0.22,0.23,0.23,0.25,../test/Nasdaq/CVBF/CVBF.csv,
SHIP,Seanergy Maritime Holdings Corp,Mar 13  2017 - Mar 17  ,0.95 - 8.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SHIP/SHIP.csv,
LBRDA,Liberty Broadband Corporation,Feb 24  2017 - Feb 28  ,52.07 - 87.47,-0.09,0.04,0.12,0.15,-0.22,6.28,0.02,0.25,../test/Nasdaq/LBRDA/LBRDA.csv,
FULLL,Great Elm Capital Corp.,,,null,,
LTRPA,Liberty TripAdvisor Holdings  I,,,null,,
GOODM,Gladstone Commercial Corporatio,,,null,,
HCM,Hutchison China MediTech Limite,,,null,,
CAVM,Cavium  Inc.,Apr 25  2017 - May 1  ,35.90 - 72.00,0.25,0.29,0.39,0.54,0.25,0.29,0.43,0.56,../test/Nasdaq/CAVM/CAVM.csv,
GRPN,Groupon  Inc.,Apr 26  2017 - May 1  ,2.92 - 5.94,-0.02,-0.02,-0.02,0.02,-0.01,-0.01,-0.01,0.07,../test/Nasdaq/GRPN/GRPN.csv,
CLIRW,ClearSign Combustion Corporatio,,,null,,
NVIV,INVIVO THERAPEUTICS,Mar 2  2017 - Mar 6  ,3.95 - 9.15,-0.2,-0.33,-0.22,-0.2,-0.39,-0.24,-0.16,-0.19,../test/Nasdaq/NVIV/NVIV.csv,
DUSA,Davis Select U.S. Equity ETF,,,null,,
SBRAP,Sabra Healthcare REIT  Inc.,,,null,,
BDE,Black Diamond  Inc.,Mar 13  2017 - Mar 17  ,3.93 - 6.85,-0.03,-0.06,N/A,0.05,-0.07,-0.08,0.06,0.01,../test/Nasdaq/BDE/BDE.csv,
ABTX,Allegiance Bancshares  Inc.,Apr 24  2017 - Apr 28  ,17.61 - 39.41,0.34,0.36,0.42,0.44,0.39,0.4,0.42,0.44,../test/Nasdaq/ABTX/ABTX.csv,
MDSO,Medidata Solutions  Inc.,Apr 19  2017 - Apr 24  ,34.25 - 58.77,0.18,0.23,0.26,0.26,0.25,0.24,0.28,0.33,../test/Nasdaq/MDSO/MDSO.csv,
PMBC,Pacific Mercantile Bancorp,Apr 24  2017 - Apr 28  ,5.30 - 7.91,0.01,0.02,0.02,0.02,0.01,-0.21,-1.33,0.01,../test/Nasdaq/PMBC/PMBC.csv,
TPIV,TAPIMMUNE INC,,,null,,
UCBA,United Community Bancorp,May 2  2017 - May 8  ,13.60 - 17.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UCBA/UCBA.csv,
AMDA,Amedica Corporation,Mar 15  2017 - Mar 20  ,0.35 - 2.80,-0.6,-0.25,-0.31,-0.15,-5.07,-0.3,-0.4,-0.3,../test/Nasdaq/AMDA/AMDA.csv,
PFBX,Peoples Financial Corporation,Apr 25  2017 - May 1  ,8.90 - 16.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PFBX/PFBX.csv,
ALXN,Alexion Pharmaceuticals  Inc.,Apr 26  2017 - May 1  ,109.12 - 162.00,1.14,1.17,1.17,1.25,0.99,1.13,1.23,1.26,../test/Nasdaq/ALXN/ALXN.csv,
SGQI,Janus SG Global Quality Income,,,null,,
MCFT,MCBC Holdings  Inc.,May 3  2017 - May 8  ,10.25 - 16.09,0.28,0.28,0.36,0.3,0.31,0.3,0.41,0.26,../test/Nasdaq/MCFT/MCFT.csv,
MMYT,MakeMyTrip Limited,May 16  2017 - May 20  ,13.69 - 36.65,-0.5,-0.72,-0.66,-0.7,-0.82,-0.34,-0.95,0.31,../test/Nasdaq/MMYT/MMYT.csv,
MZOR,Mazor Robotics Ltd.,,,null,,
ESBK,Elmira Savings Bank NY (The),Apr 24  2017 - Apr 28  ,17.83 - 22.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ESBK/ESBK.csv,
FYC,First Trust Small Cap Growth Al,,,null,,
DISCA,Discovery Communications  Inc.,May 3  2017 - May 8  ,23.66 - 29.91,0.41,0.54,0.4,0.47,0.42,0.66,0.36,0.52,../test/Nasdaq/DISCA/DISCA.csv,
GLAD,Gladstone Capital Corporation,May 2  2017 - May 8  ,6.80 - 9.92,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,../test/Nasdaq/GLAD/GLAD.csv,
PTH,PowerShares DWA Healthcare Mome,,,null,,
ELGX,Endologix  Inc.,Feb 20  2017 - Feb 24  ,4.78 - 14.50,-0.24,-0.2,-0.15,-0.19,-0.25,-0.2,-0.11,-0.22,../test/Nasdaq/ELGX/ELGX.csv,
TROVW,TrovaGene  Inc.,,,null,,
TTGT,TechTarget  Inc.,May 8  2017 - May 12  ,6.73 - 9.43,0.02,0.09,0.05,0.04,0.04,0.11,0.06,0.1,../test/Nasdaq/TTGT/TTGT.csv,
HCAP,Harvest Capital Credit Corporat,Mar 15  2017 ,10.40 - 14.88,0.35,0.39,0.35,0.33,0.54,0.41,0.33,0.47,../test/Nasdaq/HCAP/HCAP.csv,
FPRX,Five Prime Therapeutics  Inc.,May 8  2017 - May 13  ,31.19 - 60.98,-0.71,-0.56,-0.51,-0.57,-0.49,-0.49,-0.72,-0.73,../test/Nasdaq/FPRX/FPRX.csv,
RNDB,Randolph Bancorp  Inc.,,,null,,
FMNB,Farmers National Banc Corp.,Apr 18  2017 - Apr 24  ,8.52 - 15.50,0.16,0.18,0.19,0.2,0.18,0.19,0.2,0.2,../test/Nasdaq/FMNB/FMNB.csv,
OPXA,Opexa Therapeutics  Inc.,Nov 11  2016 - Nov 14  ,0.50 - 4.93,-0.5,-0.35,-0.23,-0.25,-0.3,-0.31,-0.3,-0.28,../test/Nasdaq/OPXA/OPXA.csv,
INVA,INOVA TECHNOLOGY INC,Apr 26  2017 - May 1  ,8.67 - 14.15,0.1,0.12,0.19,0.19,0.04,0.13,0.13,0.22,../test/Nasdaq/INVA/INVA.csv,
CIZ,VictoryShares Developed Enhance,,,null,,
UMBF,UMB Financial Corporation,Apr 24  2017 - Apr 28  ,48.49 - 81.55,0.67,0.74,0.78,0.85,0.74,0.76,0.85,0.91,../test/Nasdaq/UMBF/UMBF.csv,
DGRE,WisdomTree Emerging Markets Qua,,,null,,
BVSN,BroadVision  Inc.,May 2  2017 - May 8  ,4.40 - 8.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/BVSN/BVSN.csv,
TTEC,TeleTech Holdings  Inc.,Mar 13  2017 - Mar 17  ,24.45 - 31.97,0.37,0.28,0.48,0.46,0.25,0.28,0.39,0.42,../test/Nasdaq/TTEC/TTEC.csv,
ELON,Echelon Corporation,May 3  2017 - May 8  ,4.17 - 6.15,N/A,-0.7,-0.65,-0.6,N/A,-0.3,-0.5,-0.2,../test/Nasdaq/ELON/ELON.csv,
CBSHP,Commerce Bancshares  Inc.,,,null,,
NVLS,Nivalis Therapeutics  Inc.,May 1  2017 - May 5  ,2.00 - 9.35,-0.44,-0.52,-0.59,-0.55,-0.51,-0.55,-0.48,-0.5,../test/Nasdaq/NVLS/NVLS.csv,
AINV,Apollo Investment Corporation,May 17  2017 - May 22  ,5.03 - 6.58,0.21,0.19,0.17,0.16,0.2,0.16,0.18,0.17,../test/Nasdaq/AINV/AINV.csv,
LMRKO,Landmark Infrastructure Partner,,,null,,
ANDE,The Andersons  Inc.,May 2  2017 - May 8  ,25.78 - 44.90,0.03,0.58,0.18,0.63,-0.52,0.51,0.06,0.36,../test/Nasdaq/ANDE/ANDE.csv,
EXPE,Expedia  Inc.,Apr 27  2017 ,96.58 - 133.55,-0.06,0.78,2.47,1.37,0.09,0.83,2.41,1.17,../test/Nasdaq/EXPE/EXPE.csv,
ALQA,Alliqua BioMedical  Inc.,Feb 21  2017 - Feb 27  ,0.45 - 1.48,-0.25,-0.27,-0.24,-0.19,-0.28,0.18,-0.26,-0.22,../test/Nasdaq/ALQA/ALQA.csv,
UNXL,Uni-Pixel  Inc.,May 3  2017 - May 8  ,0.57 - 2.88,-0.24,-0.15,-0.13,-0.11,-0.3,-0.24,-0.16,-0.17,../test/Nasdaq/UNXL/UNXL.csv,
CRVS,Corvus Pharmaceuticals  Inc.,,,null,,
TNAV,Telenav  Inc.,May 1  2017 - May 5  ,4.47 - 10.15,-0.16,-0.17,-0.17,-0.11,-0.18,-0.12,-0.15,-0.06,../test/Nasdaq/TNAV/TNAV.csv,
PCBK,Pacific Continental Corporation,Apr 18  2017 - Apr 24  ,15.40 - 26.85,0.28,0.28,0.28,0.28,0.28,0.13,0.23,0.3,../test/Nasdaq/PCBK/PCBK.csv,
PFIN,P F Industries  Inc.,Mar 27  2017 - Mar 31  ,6.69 - 11.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PFIN/PFIN.csv,
BMLA,BullMark LatAm Select Leaders E,,,null,,
EBAY,eBay Inc.,Apr 24  2017 - Apr 28  ,22.30 - 34.43,0.45,0.42,0.44,0.54,0.47,0.43,0.45,0.54,../test/Nasdaq/EBAY/EBAY.csv,
OHGI,One Horizon Group  Inc.,Mar 29  2017 - Apr 3  ,0.22 - 1.27,N/A,-0.01,-0.03,-0.03,N/A,-0.02,-0.05,-0.04,../test/Nasdaq/OHGI/OHGI.csv,
NEOT,Neothetics  Inc.,Mar 27  2017 - Mar 31  ,0.53 - 1.98,-1.14,-1.14,-0.4,-0.31,-1.26,-0.69,-0.19,-0.17,../test/Nasdaq/NEOT/NEOT.csv,
SFBS,ServisFirst Bancshares  Inc.,Apr 17  2017 - Apr 21  ,18.58 - 42.66,0.32,0.34,0.35,0.37,0.33,0.36,0.39,0.4,../test/Nasdaq/SFBS/SFBS.csv,
CBRL,Cracker Barrel Old Country Stor,Feb 21  2017 - Feb 27  ,130.15 - 175.04,1.8,2.13,1.84,2.14,1.82,2.12,2.01,2.19,../test/Nasdaq/CBRL/CBRL.csv,
MELI,MercadoLibre  Inc.,May 4  2017 ,110.87 - 216.70,0.56,0.59,0.83,0.93,0.68,0.36,0.88,1.16,../test/Nasdaq/MELI/MELI.csv,
MRAM,Everspin Technologies  Inc.,Mar 10  2017 ,6.15 - 10.28,N/A,N/A,N/A,-0.47,N/A,N/A,N/A,-0.54,../test/Nasdaq/MRAM/MRAM.csv,
MDLZ,Mondelez International  Inc.,Apr 25  2017 - May 1  ,39.21 - 46.40,0.39,0.4,0.43,0.48,0.51,0.44,0.52,0.47,../test/Nasdaq/MDLZ/MDLZ.csv,
PBYI,Puma Biotechnology Inc,Feb 27  2017 - Mar 3  ,19.74 - 73.27,-1.99,-2.18,-1.97,-1.92,-2.19,-2.05,-2.02,-2.04,../test/Nasdaq/PBYI/PBYI.csv,
AMED,Amedisys Inc,Mar 6  2017 - Mar 10  ,34.58 - 55.16,0.33,0.42,0.42,0.39,0.33,0.42,0.36,0.44,../test/Nasdaq/AMED/AMED.csv,
SCHL,Scholastic Corporation,Mar 22  2017 - Mar 27  ,34.76 - 49.38,-0.35,0.95,-1.17,1.92,-0.06,1.22,-1.15,1.99,../test/Nasdaq/SCHL/SCHL.csv,
AXSM,Axsome Therapeutics  Inc.,Mar 22  2017 - Mar 27  ,4.00 - 12.69,-0.28,-0.39,-0.39,-0.42,-0.31,-0.36,-0.38,-0.4,../test/Nasdaq/AXSM/AXSM.csv,
CLNT,Cleantech Solutions Internation,Mar 29  2017 - Apr 3  ,0.60 - 1.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CLNT/CLNT.csv,
TCFC,The Community Financial Corpora,Apr 24  2017 - Apr 28  ,22.21 - 33.98,0.34,0.36,0.39,0.43,0.35,0.37,0.42,0.44,../test/Nasdaq/TCFC/TCFC.csv,
ULBI,Ultralife Corporation,Apr 26  2017 - May 1  ,3.73 - 6.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ULBI/ULBI.csv,
PAHC,Phibro Animal Health Corporatio,,,null,,
HFBC,HopFed Bancorp  Inc.,Apr 27  2017 - May 1  ,10.82 - 15.45,0.07,0.11,0.1,0.13,0.08,0.05,0.16,0.18,../test/Nasdaq/HFBC/HFBC.csv,
GLDD,Great Lakes Dredge Dock Corpo,Feb 21  2017 - Feb 27  ,3.05 - 5.45,-0.07,N/A,0.03,-0.05,-0.07,-0.03,0.08,0.01,../test/Nasdaq/GLDD/GLDD.csv,
TILE,Interface  Inc.,Feb 22  2017 - Feb 27  ,14.56 - 19.93,0.2,0.29,0.32,0.24,0.2,0.32,0.25,0.28,../test/Nasdaq/TILE/TILE.csv,
ACHC,Acadia Healthcare Company  Inc.,Feb 14  2017 - Feb 20  ,32.54 - 65.00,0.54,0.73,0.61,0.55,0.55,0.73,0.58,0.59,../test/Nasdaq/ACHC/ACHC.csv,
EXPO,Exponent  Inc.,Apr 19  2017 ,45.00 - 64.80,0.35,0.43,0.34,0.34,0.56,0.38,0.42,0.39,../test/Nasdaq/EXPO/EXPO.csv,
BBOX,Black Box Corporation,May 8  2017 - May 12  ,8.75 - 17.05,0.26,0.22,0.22,0.3,0.14,0.13,0.31,0.24,../test/Nasdaq/BBOX/BBOX.csv,
LCA,Landcadia Holdings  Inc.,,,null,,
NGHC,National General Holdings Corp,Feb 7  2017 - Feb 13  ,18.04 - 26.99,0.4,0.39,0.38,0.23,0.5,0.43,0.31,0.3,../test/Nasdaq/NGHC/NGHC.csv,
TSRO,TESARO  Inc.,Feb 23  2017 - Feb 27  ,36.68 - 192.94,-1.69,-1.71,-1.92,-1.95,-2.22,-1.28,-1.98,-2.6,../test/Nasdaq/TSRO/TSRO.csv,
RCON,Recon Technology  Ltd.,May 15  2017 - May 19  ,0.86 - 2.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/RCON/RCON.csv,
BELFB,Bel Fuse Inc.,,,null,,
FVC,First Trust Dorsey Wright Dynam,,,null,,
AEMD,AETHLON MEDICAL INC,Feb 2  2017 - Feb 6  ,3.10 - 9.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/AEMD/AEMD.csv,
ARTW,Art s-Way Manufacturing Co.  In,Apr 11  2017 - Apr 17  ,2.50 - 4.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ARTW/ARTW.csv,
SPKE,Spark Energy  Inc.,Mar 21  2017 - Mar 27  ,17.70 - 35.63,0.53,0.83,0.23,0.44,-0.01,0.68,0.3,-0.04,../test/Nasdaq/SPKE/SPKE.csv,
SYRS,Syros Pharmaceuticals  Inc.,,,null,,
PACE,Pace Holdings Corp.,,,null,,
ATAI,ATA Inc.,Feb 16  2017 - Feb 20  ,2.96 - 4.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ATAI/ATAI.csv,
LMRK,Landmark Infrastructure Partner,Feb 14  2017 - Feb 20  ,12.55 - 18.44,0.17,0.18,0.13,0.06,-0.03,-0.02,0.06,0.34,../test/Nasdaq/LMRK/LMRK.csv,
SIFI,SI Financial Group  Inc.,Apr 25  2017 - May 1  ,12.30 - 16.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SIFI/SIFI.csv,
ENZL,iShares MSCI New Zealand Capped,,,null,,
CPSS,Consumer Portfolio Services  In,Apr 24  2017 - Apr 28  ,3.31 - 6.05,0.23,0.24,0.24,0.24,0.24,0.25,0.26,0.26,../test/Nasdaq/CPSS/CPSS.csv,
ANDAW,Andina Acquisition Corp. II,,,null,,
SCMP,Sucampo Pharmaceuticals  Inc.,Mar 6  2017 - Mar 10  ,9.59 - 17.55,0.19,0.22,0.27,0.48,0.21,0.23,0.28,0.68,../test/Nasdaq/SCMP/SCMP.csv,
EDGW,Edgewater Technology  Inc.,Feb 28  2017 - Mar 6  ,6.22 - 9.40,-0.03,0.03,-0.02,0.03,-0.06,0.09,N/A,0.01,../test/Nasdaq/EDGW/EDGW.csv,
HBANO,Huntington Bancshares Incorpora,,,null,,
CSII,Cardiovascular Systems  Inc.,May 2  2017 - May 8  ,9.07 - 29.70,-0.54,-0.2,-0.19,-0.06,-0.69,-0.15,-0.06,0.03,../test/Nasdaq/CSII/CSII.csv,
LAKE,Lakeland Industries  Inc.,Dec 13  2016 - Dec 19  ,8.00 - 12.75,0.15,-0.04,0.1,0.2,-0.01,N/A,0.2,0.21,../test/Nasdaq/LAKE/LAKE.csv,
IRG,Ignite Restaurant Group  Inc.,Mar 1  2017 - Mar 6  ,0.19 - 3.79,-0.23,-0.03,0.05,-0.05,-0.29,-0.04,-0.04,0.03,../test/Nasdaq/IRG/IRG.csv,
ROLL,RBC Bearings Incorporated,Feb 1  2017 - Feb 6  ,66.83 - 99.92,0.84,0.78,0.77,0.71,0.86,0.77,0.78,0.73,../test/Nasdaq/ROLL/ROLL.csv,
SMMF,Summit Financial Group  Inc.,Apr 24  2017 - Apr 28  ,12.62 - 30.06,N/A,N/A,0.37,0.39,N/A,N/A,0.4,0.44,../test/Nasdaq/SMMF/SMMF.csv,
HCOM,Hawaiian Telcom Holdco  Inc.,Mar 6  2017 - Mar 10  and Conference Call for Fourth Quarter ,19.00 - 27.28,0.06,0.06,0.03,-0.01,-0.04,0.01,0.13,-0.02,../test/Nasdaq/HCOM/HCOM.csv,
HA,Hawaiian Holdings  Inc.,Apr 19  2017 - Apr 24  ,34.69 - 60.90,0.76,1.15,1.84,1.28,0.8,1.21,1.92,1.28,../test/Nasdaq/HA/HA.csv,
RLJE,RLJ Entertainment  Inc.,Nov 14  2016 - Nov 18  ,1.09 - 3.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/RLJE/RLJE.csv,
RNVA,Rennova Health  Inc.,Apr 17  2017 - Apr 21  ,0.05 - 3.60,N/A,-3.8,-33,-30,N/A,-1.5,-39,-27,../test/Nasdaq/RNVA/RNVA.csv,
ABTL,Autobytel Inc.,Mar 8  2017 - Mar 13  ,10.72 - 21.40,0.24,0.27,0.21,0.48,0.33,0.22,0.24,0.49,../test/Nasdaq/ABTL/ABTL.csv,
MTSC,MTS Systems Corporation,Apr 17  2017 - Apr 24  ,41.53 - 62.27,0.65,0.59,0.7,0.73,0.61,0.78,0.27,0.78,../test/Nasdaq/MTSC/MTSC.csv,
